category_group,category,process_code,model,serial,status,note,launch_time,eol_time,eos_time,ts_owner,sort_order,archived
Biochem,,BA89,BA-88A,,在线,,,,,,0,false
Biochem,BS-230/BS-240,BA25,BS-230,,在线,,,,,,1,false
Biochem,BS-230/BS-240,BA24,BS-240,,在线,,,,,,2,false
Biochem,BS-240E/BS-240Pro/BS-360E,BA36,BS-240E,,在线,,,,,,3,false
Biochem,BS-240E/BS-240Pro/BS-360E,BA36,BS-360E,,在线,,,,,,4,false
Biochem,BS-430/BS-450,BA43,BS-430,,在线,,,,,,5,false
Biochem,BS-480/BS-490,BA4A,BS-480,,在线,,,,,,6,false
Biochem,BS-600M/BS-620M,BA6M,BS-600M,,在线,,,,,,7,false
Biochem,BS-600M/BS-620M,BA6M,BS-620M,,在线,,,,,,8,false
Biochem,BS-800 Series,BA8M,BS-800M,,在线,,,,,,9,false
Biochem,BS-1000M Series,BA1K,BS-1000M,,在线,,,,,,10,false
CLIA,CL-900i Series,BM51,CL-900I,,在线,,,,,,11,false
CLIA,CL-900i Series,BM51,CL-960I,,在线,,,,,,12,false
CLIA,CL-1000i Series,BM21,CL-1000I,,在线,,,,,,13,false
CLIA,CL-2000i Series,BM11,CL-2000I,,在线,,,,,,14,false
CLIA,CL-2600i Series,BM40,CL-2600I,,在线,,,,,,15,false
CLIA,CL-8000i Series,BM80,CL-8000I,,在线,,,,,,16,false
Coag,C3510/C3100,F05E,C3100,,在线,,,,,,17,false
Hema,Classic 3-DIFF Series,3011,BC-10,,在线,,,,,,18,false
Hema,Classic 3-DIFF Series,3008,BC-20S,,在线,,,,,,19,false
Hema,Classic 3-DIFF Series,3012,BC-30,,在线,,,,,,20,false
Hema,Classic 3-DIFF Series,3008,BC-30S,,在线,,,,,,21,false
Hema,BC-700 series,3120,BC-720[R],,在线,,,,,,22,false
Hema,BC-700 series,3128,BC-760[B],,在线,,,,,,23,false
Hema,BC-700 series,3128,BC-780[R],,在线,,,,,,24,false
Hema,Classic 3-DIFF Series,3003,BC-3000PLUS,,在线,,,,,,25,false
Hema,BC-5000 Series,3107,BC-5000,,在线,,,,,,26,false
Hema,BC-5000 Series,3107,BC-5140,,在线,,,,,,27,false
Hema,BC-53 Series,3102,BC-5380,,在线,,,,,,28,false
Hema,BC-5390 Series,3109,BC-5390,,在线,,,,,,29,false
Hema,BC-6000 Series,3206,BC-6200,,在线,,,,,,30,false
Hema,BC-6800 Plus Series,3205,BC-6800PLUS,,在线,,,,,,31,false
Hema,BC-7600 Series,3221,BC-7600,,在线,,,,,,32,false
Hema,BC-7600 Series,3221,BC-7800,,在线,,,,,,33,false
Hema,BC-7600 Series,3221,BC-7900,,在线,,,,,,34,false
Hema,CAL 8000 Series Track,3207,CAL 8000,,在线,,,,,,35,false
Hema,Glycohemoglobin Series,3301,H50P,,在线,,,,,,36,false
Hema,MC-80 Series,3214,MC-80,,在线,,,,,,37,false
Hema,SC120,3204,SC-120,,在线,,,,,,38,false
Micro,TDR-X030,7953,TDR-X030,,在线,,,,,,39,false
Urine,EH-2090,1919,EH-2090C,,在线,,,,,,40,false
Urine,EU Pro series,1917,EU-5600 PRO,,在线,,,,,,41,false
Urine,"UA-66,UA-600,UA-600T",103,UA-66,,在线,,,,,,42,false
Urine,"UA-5600,UA-5800,UA-6600,UA-6800",1918,UA-5600,,在线,,,,,,43,false
Hema,Glycohemoglobin Series,3303,H-120,,在线,,,,,,44,false
Biochem,BS-180 Series,BA10,BS-120,,在线,,,,,,45,false
CLIA,CL-1000i Series,BM21,CL-1200I,,在线,,,,,,46,false
Hema,Classic 3-DIFF Series,2800,BC-2800,,在线,,,,,,47,false
Hema,BC-53crp Series,3112,BC-5390 CRP,,在线,,,,,,48,false
Urine,"UA-66,UA-600,UA-600T",106,UA-600,,在线,,,,,,49,false
Biochem,BS-200 Series,BA20,BS-200,,在线,,,,,,50,false
Biochem,BS-240E/BS-240Pro/BS-360E,BA36,BS-240PRO,,在线,,,,,,51,false
Biochem,BS-600/BS-620,BA6M,BS-620,,在线,,,,,,52,false
Biochem,BS-800 Series,BA80,BS-800,,在线,,,,,,53,false
CLIA,CL-6000i Series,BM60,CL-6000I,,在线,,,,,,54,false
Hema,Classic 3-DIFF Series,3011,BC-20,,在线,,,,,,55,false
Hema,BC-700 series,3120,BC-700[B],,在线,,,,,,56,false
Hema,BC-700 series,3128,BC-760[R],,在线,,,,,,57,false
Hema,BC-5000 Series,3107,BC-5130,,在线,,,,,,58,false
Hema,BC-5000 Series,3107,BC-5150,,在线,,,,,,59,false
Hema,BC-6800 Series,3201,BC-6800,,在线,,,,,,60,false
Hema,CAL 6000 Series Track,3213,CAL 6000,,在线,,,,,,61,false
Urine,"UA-66,UA-600,UA-600T",106,UA-600T,,在线,,,,,,62,false
Biochem,BS-240E/BS-240Pro/BS-360E,BA36,BS-360S,,在线,,,,,,63,false
Biochem,BS-430/BS-450,BA43,BS-450,,在线,,,,,,64,false
Biochem,BS-480/BS-490,BA4A,BS-490,,在线,,,,,,65,false
Hema,BC-53 Series,3102,BC-5180,,在线,,,,,,66,false
Hema,BC-6000 Series,3206,BC-6000,,在线,,,,,,67,false
Hema,TM-1000,3224,TM-1000,,在线,,,,,,68,false
Hema,CAL 7000 Series,3233,CAL 7000,,在线,,,,,,69,false
Coag,C2000-4/C2000-2,F05D,C2000-4,,在线,,,,,,70,false
Coag,C3510/C3100,F05H,C3510,,在线,,,,,,71,false
Hema,Classic 3-DIFF Series,3005,BC-3200,,在线,,,,,,72,false
Hema,BC-5000 Series,3107,BC-5120,,在线,,,,,,73,false
Hema,BC-53 Series,3101,BC-5300,,在线,,,,,,74,false
Micro,FA-N series,7453,FA-N60,,在线,,,,,,75,false
Micro,TDR-X060/TDR-X120/TDR-X240,7952,TDR-X120,,在线,,,,,,76,false
Urine,EU Pro series,1917,EU-5300 PRO,,在线,,,,,,77,false
Biochem,BS-600/BS-620,BA60,BS-600,,在线,,,,,,78,false
Biochem,BS-800 Series,BA8M,BS-820M,,在线,,,,,,79,false
Biochem,"BS-2800M,BS-2600M",BA3M,BS-2800M,,在线,,,,,,80,false
Coag,CX-6000 series,3809,CX-6010,,在线,,,,,,81,false
